Cage,Genotype,Left ear tag,Right ear tag,RFID Tag,Location,Wedge,Sex,Lost RFID 1,Lost RFID 2,Block
3,C57,186,357,51 48 50 51 48,SF,6,Female,FALSE,FALSE,Block 1
3,C57,187,337,51 48 51 57 57,SF,6,Female,FALSE,FALSE,Block 1
4,C57,,358,51 48 51 53 55,SF,6,Female,FALSE,FALSE,Block 1
4,C57,194,344,51 48 51 48 50,SF,6,Female,FALSE,FALSE,Block 1
4,C57,195,345,51 48 50 56 50,SF,6,Female,FALSE,FALSE,Block 1
5,C57,,356,51 48 50 51 57,SF,6,Female,FALSE,FALSE,Block 1
5,C57,199,349,51 48 50 54 55,SF,6,Female,TRUE,FALSE,Block 1
5,C57,200,350,51 48 51 55 49,SF,6,Female,FALSE,FALSE,Block 1
6,C57,126,376,51 48 50 48 49,SF,6,Female,FALSE,FALSE,Block 1
6,C57,130,380,51 48 51 49 48,SF,6,Female,FALSE,FALSE,Block 1
9,C57,160,391,51 48 51 56 51,SF,6,Female,FALSE,FALSE,Block 1
9,C57,144,394,51 48 51 52 56,SF,6,Female,FALSE,FALSE,Block 1
10,C57,147,359,51 48 51 56 52,SF,6,Female,FALSE,FALSE,Block 1
10,C57,148,398,51 48 50 50 50,SF,6,Female,FALSE,FALSE,Block 1
10,C57,164,399,51 48 51 50 50,SF,6,Female,FALSE,FALSE,Block 1
1,C57,2,202,48 54 51 55 53 52,SF,6,Female,FALSE,FALSE,Block 2
1,C57,3,203,49 50 55 56 54 57,SF,6,Female,FALSE,FALSE,Block 2
1,C57,4,204,48 54 51 55 51 56,SF,6,Female,FALSE,FALSE,Block 2
2,C57,6,206,49 51 48 50 56 54,SF,6,Female,FALSE,FALSE,Block 2
2,C57,8,208,48 54 51 55 49 49,SF,6,Female,FALSE,FALSE,Block 2
5,C57,22,222,49 50 55 56 53 56,SF,6,Female,TRUE,TRUE,Block 2
5,C57,24,224,48 54 49 48 49 57,SF,6,Female,FALSE,FALSE,Block 2
5,C57,25,225,48 54 51 55 54 56,SF,6,Female,FALSE,FALSE,Block 2
8,C57,36,236,48 54 51 55 54 49,SF,6,Female,FALSE,FALSE,Block 2
8,C57,39,239,48 54 51 55 52 56,SF,6,Female,FALSE,FALSE,Block 2
8,C57,40,240,48 54 51 55 53 49,SF,6,Female,FALSE,FALSE,Block 2
9,C57,41,241,48 54 51 55 54 55,SF,6,Female,FALSE,FALSE,Block 2
9,C57,45,245,48 54 51 55 57 54,SF,6,Female,FALSE,FALSE,Block 2
11,C57,51,251,48 54 49 48 50 57,SF,6,Female,TRUE,TRUE,Block 2
11,C57,54,254,48 54 51 55 56 51,SF,6,Female,TRUE,TRUE,Block 2