,Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
51,73.056,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
56,74.056,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
57,74.806,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
64,77.307,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
67,79.307,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
68,80.056,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
73,80.806,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
78,83.307,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
80,84.057,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
85,85.558,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
90,86.307,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
94,87.307,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
133,114.675,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
140,117.426,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
149,119.426,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
152,120.177,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
156,120.925,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
166,125.208,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
185,149.012,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
189,150.262,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
219,158.261,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
220,159.011,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
233,163.262,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
244,168.511,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
247,170.012,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
248,170.763,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
254,172.512,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
260,175.011,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
263,176.762,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
265,177.512,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
269,178.512,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
274,180.511,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
276,181.262,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
281,182.512,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
305,225.442,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
309,226.692,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
313,227.442,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
314,227.942,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
327,241.234,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
328,241.734,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
333,243.235,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
342,247.484,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
353,262.984,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
354,263.484,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
367,268.557,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
368,269.057,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
371,269.808,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
374,272.326,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
377,273.325,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
382,275.325,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
383,276.326,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
390,280.325,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
393,281.325,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
426,362.511,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
429,363.76,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
448,391.106,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
449,392.107,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
450,393.106,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
453,394.857,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
458,396.606,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
461,397.607,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
476,406.147,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
483,408.648,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
488,410.147,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
505,436.722,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
514,444.472,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
525,448.222,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
526,448.971,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
529,449.972,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
532,450.971,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
533,452.222,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
536,453.471,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
541,459.472,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
543,460.222,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
547,461.473,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
550,462.722,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
553,463.721,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
571,517.173,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
575,518.672,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
578,520.172,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
579,521.172,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
582,522.172,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
587,525.422,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
588,526.422,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
593,532.922,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
596,533.922,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
611,571.552,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
614,572.802,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
623,575.552,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
624,576.553,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
625,578.552,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
626,580.052,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
629,581.552,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
634,585.552,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
